adwell {"v":["allure","attract"]}
halidom {"n":["holiness","sanctity"]}
halk {"n":["cavity"]}
halse {"v":["hug","embrace","caress","fondle"],"n":["neck","throat"]}
halsebee {"n":["torc"]}
halsend {"n":["omen"]}
halser {"n":["diviner","exorcist"]}
halsewort {"n":["throatwort plant"]}
halsing {"n":["divination","fortune telling","augury"]}
Halsing {"n":["Halsing"],"p":["Halsing"],"i":["Halsing"]}
hammerbore {"n":["jackhammer"]}
hammerwort {"n":["plant"]}
handglass {"n":["magnifying glass","hand mirror"]}
handlings {"r":["by hand","manually"]}
handwhile {"n":["moment","instance"]}
hangby {"n":["dependent"]}
hangup {"n":["delay","suspend"],"v":["delay","suspend"]}
hansel {"n":["token","gift"]}
hapful {"a":["lucky","fortunate"]}
harddrive {"n":["hard disk"]}
hardhew {"n":["chicory"]}
hareeyed {"a":["wide-eyed"]}
harehearted {"a":["timorous","timid","easily frightened"]}
haresbeard {"n":["plant","mullein"]}
hareseye {"n":["lagophthalmus","lagophthalmia"]}
harfee {"n":["booty","war spoils"]}
harfolk {"n":["army folk"]}
harhithe {"n":["spoil","booty","plunder"]}
harkworthy {"a":["noteworthy"]}
harman {"n":["warrior"]}
harmquid {"n":["blasphemy","harmful speech"]}
harreaf {"n":["spoil","booty","plunder"]}
hartclover {"n":["Melilotus plant","melilot"]}
harthreat {"n":["troop"]}
hase {"a":["grey","ashen"]}
hather {"v":["restrain","confine"]}
hatshop {"n":["hat store"]}
Hatwere {"n":["one of the Chattuarii"],"p":["sub-group of the Franks"],"i":["one of the Chattuarii"]}
haveless {"a":["poor","destitute"]}
hayriff {"n":["cleavers"]}
haystold {"n":["bachelor","unmarried male","virgin"]}
hayward {"n":["agricultural overseer","hedger","grain protector","harvest overseer"]}
hazelwort {"n":["Asarum europaeum plant"]}
headleighter {"n":["chief error"]}
headly {"a":["chief"]}
headstool {"n":["chief seat"]}
healall {"n":["panacea","universal remedy"]}
heam {"v":["marry"]}
heamedy {"a":["sexual"]}
heapmeal {"r":["in heaps","heap by heap"]}
heartlike {"a":["like a heart","central","core"]}
heartquake {"n":["heart palpitation","feeling of strong or sudden emotion"]}
heartseath {"n":["pansy"]}
heartsome {"a":["uplifting","comforting","lively","joyful","pleasant"]}
heathglemb {"n":["war wound"]}
heathweed {"n":["military clothing"]}
hedden {"n":["hood","cloak"]}
helfry {"a":["bloody"]}
hellrown {"n":["witch"]}
hellwite {"n":["hell"]}
helver {"n":["gore"]}
hemptree {"n":["plant","tree"]}
hemth {"n":["shirt"]}
henbell {"n":["henbane","plant"]}
hendly {"r":["courteously","chivalrously"]}
hendness {"n":["courtesy","politeness"]}
hent {"p":["until"],"i":["until"],"v":["grasp","seize","capture","arrest"]}
henth {"n":["humiliation","disgrace"]}
henward {"a":["fleeting","brief","transient"]}
Herdsman {"n":["Boötes"]}
herethrough {"r":["by this means"]}
heriot {"n":["military equipment","return of military equipment"]}
hewish {"n":["household"]}
hewnbill {"n":["scaup"]}
hewngreen {"a":["blue-green"]}
hidel {"n":["hiding place","refuge"]}
hideyield {"n":["property tax","tax"]}
hidlings {"a":["secret","clandestine"],"r":["secretly"]}
hield {"n":["slope","incline","declivity"],"v":["slope","incline"]}
highblown {"a":["pretentious","exaggerated"]}
highhearted {"a":["carefree","happy","brave"]}
highherd {"n":["chief pastor"]}
highminded {"a":["noble","honourable","magnanimous"]}
highmindedness {"n":["pride","nobility","honourableness","magnamity"]}
highmoody {"a":["proud","lofty","haughty"]}
highstrung {"a":["tense","stressed","nervous","intense"]}
hightide {"n":["culminating point","climax"]}
hightle {"v":["adorn","embellish","ornament"]}
hildlate {"n":["coward"]}
hildspel {"n":["story about battle"]}
hilk {"n":["bend","turn","winding"]}
hilling {"n":["cover"]}
hillwort {"n":["pennyroyal"]}
himmel {"n":["hummel"]}
hinderland {"n":["uncharted land","land surrounding a town or port"]}
hinderling {"n":["wretch","beast"]}
hindlook {"n":["afterlook","look in review"]}
hindneck {"n":["nape"]}
hipping {"n":["diaper","nappy"]}
hirdman {"n":["retainer"]}
hit up {"v":["contact"]}
hithe {"n":["port"],"v":["plunder","ravage","pillage"]}
hoardcleeve {"n":["treasury"]}
hoardcove {"n":["place for treasure","place where thoughts are stored"]}
hoardern {"n":["storeroom","storehouse"]}
hoardlock {"n":["coffer"]}
hode {"v":["ordain","hallow"]}
hoder {"a":["clear"]}
hoff {"n":["house","palace"]}
holdend {"n":["keeper","guardian"]}
holet {"v":["greet","salute"]}
holirope {"n":["hemp-agrimony"]}
holk {"n":["hollow","cavity","excavate"],"v":["hollow","excavate"]}
holy fire {"n":["St","Anthony's fire"]}
homefear {"n":["ecophobia"]}
hoofdeer {"n":["ungulate"]}
hool {"n":["vain speech","slander","calumny"],"v":["slander","calumniate"]}
hoose {"n":["troop","band","party"]}
hore {"n":["filth","dirt","mud","slime","muck"],"v":["defile","defoul"]}
hornkin {"n":["croissant"]}
horsed {"n":["on horseback"]}
horsefeathers {"n":["nonsense"]}
horseheal {"n":["elecampane"]}
horsethane {"n":["horse officer","marshal"]}
horsh {"a":["quick-witted"]}
houndberry {"n":["berry"]}
houndshead {"n":["snapdragon"]}
housechurl {"n":["housecarl"]}
housedeer {"n":["pet"]}
housel {"n":["Eucharist"]}
houseldish {"n":["plate"]}
housemonger {"n":["estate agent"]}
housewares {"n":["domestic utensils"]}
houth {"n":["booty"]}
hove {"n":[],"v":["float","hover","flutter in the air"]}
hulstry {"a":["dark","secret"]}
Hungery {"n":["Hungary"],"p":["Hungary"],"i":["Hungary"]}
hunth {"n":["prey","game"]}
hurtleberry {"n":["berry"]}
husbandcraft {"n":["husbandry","management"]}
husbanding {"n":["cultivation","tillage","farming","care"]}
husting {"n":["assembly","platform"]}
hux {"n":["mockery"]}
huxly {"r":["mockingly"]}
hyeless {"a":["thoughtless","mindless","foolish"]}
hyingly {"r":["quickly","soon","rapidly"]}
ice flow {"n":["glacier"]}
ice fox {"n":["fox"]}
icebird {"n":["icebird"]}
idish {"n":["household stuff","furniture","utensils"]}
idy {"a":["busy","active"]}
Ihood {"n":["ego"]}
IIMR {"x":["IIRC","if I remember correctly"]}
illwill {"n":["spite"]}
in being {"r":["essentially"]}
in tow {"r":["following"]}
inbosom {"v":["enclose","conceal","shelter","embrace"]}
inbow {"v":["arch","curve"]}
inbowed {"a":["concave"]}
inchmeal {"r":["gradually"]}
Indish {"n":["Indian"],"p":["Indian"],"i":["Indian"],"a":["Indian"]}
ineard {"v":["dwell","inhabit"]}
ing {"n":["meadow"],"x":[]}
ingrave {"v":["inscribe"]}
ingraving {"n":["inscription"]}
inhide {"n":["intent","purpose"]}
inker {"n":["you two's"]}
inkers {"n":["yours","dual you two's"]}
inlying {"a":["interior"]}
inname {"n":["endonym"]}
innoth {"n":["womb","entrails","inner workings"]}
insail {"n":["seal","signet"],"v":["seal","signet"]}
insooth {"r":["really"]}
inwid {"n":["fraud","guile","deceit","trick"]}
inwidful {"a":["evil"]}
irl {"n":["garment","garments"]}
iron cloth {"n":["mail","chainmail"]}
irse {"v":["anger","provoke","rage"]}
irth {"n":["ploughing","tilling","farming"]}
irthland {"n":["farmland","arable land"]}
irthling {"n":["farmer"]}
isel {"n":["spark","ember","ashes","cake"]}
ish {"x":["-ic"]}
Ismahelits {"n":["Bedouins"],"p":["Bedouins"],"i":["Bedouins"]}
Israelish {"a":["Israeli","Israelite"]}
issing {"n":["covetousness"]}
ist {"n":["tempest","hurricane"]}
ithelidder {"n":["ship"]}
ithing {"n":["overflowing"]}
Joudish {"n":["Jewish"],"p":["Jewish"],"i":["Jewish"],"a":["Jewish"]}
Joudishman {"n":["Jew"],"p":["Jew"],"i":["Jew"]}
kedlock {"n":["white mustard"]}
keeling {"n":["cooling","refreshment"]}
kemb {"v":["comb","neaten","tidy","card"]}
kench {"v":["laugh","jeer"]}
kind wit {"n":["natural intelligence"]}
kindlimb {"n":["sex organ","vulva","uterus","penis"]}
kingsbloom {"n":["peony"]}
kingsspear {"n":["asphodel"]}
kinrun {"n":["family","generation","posterity"]}
kinshipwise {"a":["relative"],"r":["relatively"]}
kinshroud {"n":["king's raiment"]}
kinworth {"a":["regal"]}
kinyard {"n":["sceptre"]}
kir {"n":["choice","option"]}
kist {"n":["virtue","character"]}
kitchen sieve {"n":["strainer"]}
kithey {"a":["familiar","known"]}
knape {"n":["boy"]}
knapling {"n":["youth","boy"]}
knar {"n":["crag","knot in wood"]}
kneat {"v":["argue","dispute","contend"]}
kneating {"n":["argument","debate"]}
kneeholm {"n":["butcher's-broom"]}
knightship {"n":["knighthood"]}
knitch {"n":["bundle"]}
knoller {"n":["sexton","sacristan"]}
knoosle {"n":["genus"]}
knop {"n":["knob"]}
lakering {"n":["mockery","scorn"]}
landshape {"v":["landscape","modify"]}
latemost {"a":["final","most recent"]}
latred {"a":["tardy"]}
latsome {"a":["disgusting","repulsive","loathsome"]}
latterday {"a":["modern"]}
laughsome {"a":["funny","humorous"]}
laughtermaker {"n":["joker","buffoon"]}
lawer {"n":["laurel","bay"]}
lawwit {"n":["lawyer"]}
leadpitch {"n":["leading tone","music"]}
leafdom {"n":["leafage"]}
leanland {"n":["leased land","feudal land"]}
learningman {"n":["pupil","student"]}
leasesawl {"a":["falsehood saying"]}
leasespel {"n":["fable"]}
leaseteeth {"n":["false teeth","dentures"]}
leath {"n":["hatred","hostility"]}
leaveful {"a":["allowable","permissible"]}
Leeden {"n":["Latin"],"p":["Latin"],"i":["Latin"],"a":["Latin"]}
leedfrom {"n":["founder"]}
leeser {"n":["liberator","redeemer"]}
leethe {"v":["free","loose"]}
leethwork {"n":["composition","poem"]}
leethy {"a":["poetic","symbolic"]}
leftwise {"r":["counterclockwise","anticlockwise"]}
leighton {"n":["garden"]}
lench {"v":["arrogance","haughtiness","insolence","pride"],"n":["chain","mail"]}
letty {"a":["obstructive"]}
levenlore {"n":["electronics"]}
leveny {"a":["electric","electronic"]}
liblock {"n":["crafting of medicine","negative connotation"]}
libster {"n":["witch"]}
lichame {"n":["body","corpse"]}
lichet {"v":["feign","pretend"]}
lichetter {"n":["feigner","pretender"]}
lichetting {"n":["feigning","pretense","falsehood","hypocrisy"]}
lichhouse {"n":["mortuary"]}
lichsong {"n":["dirge"]}
lichyard {"n":["graveyard"]}
lickspittle {"n":["fawner"]}
liefly {"a":["precious","pleasant","agreeable","delightful","loveable"],"r":["willingly","gladly"]}
lifelode {"n":["lifetime","conduct","way"]}
lifesrun {"n":["curriculum vitae","CV"]}
liffet {"v":["flatter"]}
liffeter {"n":["flatterer"]}
liffeting {"n":["flattery"]}
liggat {"n":["gate"]}
lightbere {"a":["luminous","brilliant","splendid"]}
lightminded {"a":["frivolous","not serious"]}
lightmindedness {"n":["frivolity"]}
lightmood {"a":["light-hearted","easy-tempered"]}
likesome {"a":["agreeable","pleasant","likable"]}
limbmeal {"r":["in pieces"]}
linking {"a":["connecting","joining"]}
lippen {"v":["trust","entrust"]}
lire {"n":["flesh","meat"]}
liteful {"a":["beautiful","handsome","comely"]}
liteless {"a":["hideous"]}
litheby {"a":["meek","compliant","obedient"]}
lither {"a":["base","depraved","wicked","lewd","sordid","worthless","wickedly","treacherously","poorly"],"r":["base","depraved","wickedly","treacherously","poorly"],"n":[],"v":[]}
lithsew {"n":["synovial fluid"]}
litten {"n":["graveyard"]}
lix {"v":["flash","glitter"]}
loadboard {"n":["pallet"]}
loanwend {"n":["loan translation","calque"]}
loathspel {"n":["tragic story","unpleasant story"]}
loavely {"a":["praiseworthy","laudable","honourable"]}
loavesome {"a":["excellent"]}
loavesong {"n":["hymn","psalm"]}
lockered {"a":["curly","curled","tangled","matted"]}
lodder {"n":["pauper"]}
loddering {"n":["nonsense","rubbish","triviality"]}
lodesman {"n":["navigator","pilot","guide"]}
loke {"n":["offering","sacrifice"],"v":["play","wave"]}
loken {"v":["heal","cure","tend to","take care of","dress"]}
lokening {"x":["-therapy"],"v":["healing","cure","remedy"]}
Loller {"n":["protestant"]}
longaxe {"n":["poleaxe","halberd"]}
longgun {"n":["gun with a long barrel","cannon"]}
longplayer {"n":["album"]}
longshort {"n":["trochee"],"a":["trochee"]}
lonkful {"a":["arrogant"]}
lookbook {"n":["photo album"]}
lootby {"n":["paramour"]}
looth {"n":["booty","spoils"],"v":["booty","spoils"]}
lorel {"n":["rascal","scoundrel","wretched person"]}
loreless {"a":["ignorant"]}
lorelest {"n":["ignorance","educationlessness"]}
lorelistend {"n":["catechumen"]}
lorequid {"n":["precept"]}
loresman {"n":["instructor","expert"]}
lorespel {"n":["sermon","homily","treatise","essay"]}
loreswike {"n":["false lore","pseudo-science"]}
lorn {"a":["forlorn","desolate"]}
loseyns {"n":["lasagna","lasagne"]}
louk {"n":["lock up"]}
loveling {"n":["darling"]}
lovenly {"a":["lovable"]}
lovered {"n":["love"]}
lovestitch {"n":["lovage"]}
loveworthy {"a":["lovable"]}
lowkey {"a":["subtle"],"r":["subtly"]}
lowling {"n":["commoner"]}
Ludder {"n":["one opposed to technological change"]}
lur {"n":["damage","loss"]}
lutty {"a":["sly","crafty","cunning"]}
Macedony {"n":["Macedon"],"p":["Macedon"],"i":["Macedon"]}
mainful {"a":["powerful","mighty"]}
mainless {"a":["feeble"]}
mair {"v":["lean"],"a":["meager","lean"]}
maister {"n":["master"]}
maith {"n":["girl","maiden"]}
maithe {"n":["camomile"]}
makebelieve {"n":["pretend","imaginary"],"v":["pretend"],"a":["pretend","imaginary"]}
malm {"n":["rock","soil"]}
man about town {"n":["socialite"]}
manbane {"n":["tobacco"]}
mand {"n":["basket"]}
mandeed {"n":["evil deed","crime"]}
mank {"v":["mutilate","mangle","maim"]}
manmade {"a":["artificial"]}
Mannish {"n":["Manx"],"p":["Manx"],"i":["Manx"],"a":["Manx"]}
manship {"n":["gallantry","chivalry"]}
manshiply {"r":["honourably","courteously"]}
manswear {"v":["swear falsely","perjure"]}
mantledeer {"n":["animal"]}
mardy {"a":["bratty"]}
Markish {"n":["Mercian"],"a":["Mercian"]}
markle {"n":["signet","seal","mark"]}
marth {"n":["weasel"]}
maslin {"n":["brass"]}
masten {"n":["mast-pasture"],"v":["fatten"]}
maywrit {"n":["pedigree"]}
meaningly {"r":["purposely"]}
mearth {"n":["grandeur","marvel"]}
meatfettle {"n":["pantry","larder","butlery"]}
meddem {"a":["common","average"]}
meddom {"v":["measure"],"n":["measure"]}
meechfish {"n":["mullet"]}
meel {"n":["speak"],"v":["speak"]}
meer {"a":["famous","great"]}
meethe {"v":["restrain","bring within bounds"]}
meethful {"a":["temperate","modest","moderate"]}
meetly {"r":["suitably","properly"]}
mensk {"n":["honour","honourable","praiseworthy"],"a":["honour","honourable","praiseworthy"]}
merrail {"n":["sail"]}
merrow {"a":["soft","frail","tender"]}
merryman {"n":["jester"]}
merrymeeting {"n":["festival"]}
merse {"v":["exalt","glorify"]}
meted {"n":["the Maker","God"]}
mewel {"n":["maiden"]}
mid eld {"n":["medieval"],"a":["medieval"]}
midbody {"n":["torso"]}
middenstead {"n":["dunghill"]}
midred {"n":["diaphragm"]}
midwist {"n":["co-being","participation"]}
mielder {"n":["informer","announcer"]}
mighten {"v":["enable","empower"]}
mightened {"a":["enabled","empowered"]}
mighth {"n":["urine","pee","piss"]}
miles {"n":["Atriplex plant","orache"]}
militish {"a":["military"]}
milklithe {"a":["very soft","very gentle"]}
milksoppy {"a":["timid"]}
minchen {"n":["nun"]}
minday {"n":["day of remembrance"]}
minse {"v":["chop into bits","mince"]}
mir {"n":["myrrh","Commiphora myrrha plant"]}
misbeholden {"a":["disobliging"]}
misbid {"v":["mistreat"]}
misdoom {"n":["misjudgment"]}
misfall {"n":["mishap","misfortune"],"v":["suffer bad luck","turn out badly"]}
misfare {"n":["error","transgression","mishap","misfortune","ill fate"],"v":["error","transgress","go wrong","be unfortunate"]}
mislore {"n":["misinformation"]}
misnimming {"n":["mistake","error"]}
misqueath {"v":["slander"]}
missliness {"n":["variousness","diversity"]}
missly {"a":["ununiform"],"r":["ununiformly"]}
mistide {"v":["have bad luck","turn out badly"]}
miswend {"v":["go astray","subvert","deform"]}
miswrought {"a":["misworked"]}
mixen {"n":["dung heap","dunghill"]}
mone {"n":["evil","wickedness","wicked","false","base"],"a":["evil","wicked","false","base"]}
mong {"n":["mixture","mingling","intermixture"],"v":["traffic","barter"]}
monkhouse {"n":["monastery"]}
monkstow {"n":["monastery"]}
monthblood {"n":["menses"]}
moodsick {"a":["distressed","troubled"]}
moodthrake {"n":["courage"]}
moonling {"n":["lunatic"]}
moonsick {"a":["crazy"]}
moorle {"n":["rope for mooring a ship"]}
mooting {"n":["discussion","debate"]}
morebeam {"n":["mulberry tree"]}
morecrop {"n":["pimpernel"]}
Morningland {"n":["the East"]}
morth {"n":["murder","slaughter"]}
mousehare {"n":["pika"]}
mousehart {"n":["chevrotain"]}
mowing {"a":["capable","able"]}
muchel {"v":["magnify"]}
mudflow {"n":["mudstream"]}
munworthy {"v":["memorable"]}
mut {"v":["be compelled","must","may"]}
naft {"n":["poverty","indigence"]}
nafty {"a":["poor","unwealthy"]}
nailkin {"n":["carnation"]}
narrows {"n":["narrow part of a strait","river"]}
naught but {"r":["just","merely"]}
naughth {"a":["zeroth"]}
ne {"r":["not","nay","nor"],"p":["not","nay","nor"],"i":["nay","nor"]}
neatherd {"n":["cattle"]}
neatland {"n":["rented land","feudally owned land"]}
needmay {"n":["kinsman","kinswoman","cousin"]}
neednot {"n":["unnecessary thing"]}
neethe {"v":["risk","venture"]}
neeve {"n":["nephew","grandson"]}
neighwist {"n":["neighborhood","society","fellowship"]}
nemmenenly {"a":["nominative"]}
neshen {"v":["soften","mollify"]}
neshness {"n":["feebleness","weakness"]}
Netherlandish {"n":["Dutch"],"p":["Dutch"],"i":["Dutch"],"a":["Dutch"]}
netherstock {"n":["stocking"]}
netherwear {"n":["underwear","undergarments"]}
neveling {"r":["face-down"]}
neverending {"n":["endless"]}
newlings {"r":["recently","lately"]}
nightganger {"n":["night monster","hyena"]}
nimmer {"n":["thief"]}
nimth {"p":["except"],"i":["except"]}
ninesome {"n":["nonet","nonad"]}
nite {"v":["clash"]}
niths {"n":["men","humans"]}
noll {"n":["head","nape"]}
nooth {"n":["boldness","daringness"]}
Nornish {"n":["Norwegian"],"p":["Norwegian"],"i":["Norwegian"],"a":["Norwegian"]}
Northmannish {"n":["Norse"],"p":["Norse"],"i":["Norse"],"a":["Norse"]}
Northumber {"n":["Northumbria","Northumbrians"],"p":["Northumbria"],"i":["Northumbria"]}
Northumbrish {"n":["Northumbrian"],"p":[],"i":[],"a":["Northumbrian"]}
Norwales {"n":["Welshmen"],"p":["Welshmen"],"i":["Welshmen"]}
Norwelsh {"n":["Welsh"],"p":["Welsh"],"i":["Welsh"],"a":["Welsh"]}
nosefire {"n":["rhinitis","coryza"]}
nosegristle {"n":["nose cartilage"]}
nostle {"n":["headband","fillet"]}
notely {"a":["beneficial","useful"]}
nott {"a":["hornless","antlerless"]}
nottle {"n":["beneficial"]}
nough {"a":["low","lowly","humble","poor"]}
nouth {"r":["now","presently","soon"]}
nunhouse {"n":["nunnery"]}
nye {"v":["curtsey"]}
oal {"n":["fire","flame"]}
oathom {"n":["son-in-law","brother-in-law"]}
ofold {"a":["simple","plain","single"]}
ofoldly {"r":["plainly"]}
oftseen {"a":["unrare","common","usual"]}
old world ape {"n":["ape"]}
onalike {"n":["resemblance","similarity"],"a":["similar"],"r":["similarly"]}
onalikeness {"n":["pattern"]}
onboard {"a":["in agreement","willing"]}
onday {"n":["appointed day"],"v":["appoint"]}
oneberry {"n":["plant","paris"]}
onefoldly {"r":["simply","plainly"]}
onemoodness {"n":["unity"]}
onereadness {"n":["concord","agreement"]}
onesome {"n":["solo","singlet"]}
oning {"n":["unification","joining"]}
orcheap {"r":["gratis","without payment"]}
ordeer {"n":["protozoan"]}
oret {"v":["disgrace","shame"]}
oretship {"n":["infamy","disgrace"]}
orf {"n":["cattle","livestock"]}
orfowl {"n":["archaeopteryx","bird"]}
orgel {"n":["pride","haughtiness"],"a":["proud","prideful"]}
orground {"n":["primal cause"]}
orley {"n":["war"]}
ormete {"a":["limitless","boundless"]}
ormetly {"r":["excessively","immensely"]}
ormetness {"n":["excess","immensity"]}
ormood {"a":["hopeless","despairing","uncourageous"]}
ormoodness {"n":["despair"]}
orn {"n":["excess","excessive"],"a":["excess","excessive"]}
orped {"a":["stout-hearted","bold","valiant"]}
orsorrow {"a":["carefree"]}
orth {"n":["breath"]}
orthank {"n":["skill","cunning"],"a":["skillful","cunning"]}
ortroth {"n":["distrust"]}
orwood {"n":["wood"]}
oughten {"n":["twilight"]}
oughtsong {"n":["matins","nocturns"]}
outbear {"v":["support"]}
outbowed {"a":["convex","bulging"]}
outbreathe {"v":["exhale","expire"]}
outcund {"a":["strange"]}
outhwitly {"a":["academic"]}
outname {"n":["xenonym"]}
outroot {"v":["root out","eradicate"]}
over against {"p":["against"],"i":["against"]}
overboldness {"n":["audacity","foolhardiness","temerity"]}
overdoor {"n":["lintel"]}
overfall {"v":["attack","assail","assault","fall upon"]}
overfearful {"a":["overly fearful"]}
overmood {"n":["overconfidence","pride","hubris"]}
overmoodly {"r":["proudly","arrogantly"]}
overmoody {"a":["proud","arrogant"]}
oversit {"v":["neglect","omit"]}
overspeak {"v":["overstate","exaggerate"]}
overspeech {"n":["loquacity","exaggeration"]}
oversummer {"v":["aestivate"]}
overtread {"v":["trespass","interlope"]}
overtreader {"n":["trespasser"]}
overway {"n":["overpass"]}
overween {"v":["presume","be over confident"]}
overword {"n":["refrain","chorus"]}
ovestly {"r":["hastily","speedily"]}
owhither {"r":["anywhither"]}
owing to {"p":["because of"],"i":["because of"]}
ownspeech {"n":["idiom"]}
oxgang {"n":["measure of land"]}
pepon {"n":["gourd","pumpkin"]}
Perseland {"n":["Persia"],"p":["Persia"],"i":["Persia"]}
pickthank {"n":["sycophant"],"a":["sycophantic"]}
pind {"v":["enclose","pen","impound","cage","imprison","confine","restrain","limit"]}
plail {"a":["playful","sportive"]}
plaily {"a":["ludic","theatrical"]}
platch {"n":["square","marketplace"]}
playgame {"n":["pastime"]}
playman {"n":["player","athlete","wrestler","gymnast"]}
plee {"n":["danger","peril","risk"]}
pleely {"a":["dangerous"]}
plitch {"v":["pull","pluck"]}
pond duck {"n":["mallard"]}
portick {"n":["porch","portico"]}
pote {"v":["poke","push","thrust"]}
potgun {"n":["mortar","artillery"]}
pothead whale {"n":["pilot whale"]}
potwhale {"n":["sperm whale"]}
psalter {"n":["psalter"]}
put by {"v":["set aside","evade"]}
quale {"n":["death","quelling","plague"]}
quarternward {"n":["gaoler","jailor","warder"]}
quead {"n":["wickedness"],"a":["wicked"]}
queal {"v":["die","perish"]}
queath {"v":["declare","say"]}
queller {"n":["killer"]}
quenchcoal {"n":["person or thing that undermines zeal"]}
quickfee {"n":["cattle"]}
quick-in-hand {"n":["balsam"]}
quitch {"n":["quack grass"]}
quoon {"v":["lament"]}
railthane {"n":["robekeeper"]}
rainpiper {"n":["plover"]}
rakedly {"a":["palatial"]}
rakeshame {"n":["rogue"]}
randbigh {"n":["boss","umbo"]}
rasen {"n":["beam"]}
ratheripe {"a":["precocious","rareripe"]}
rathest {"a":["soonest","earliest"]}
reacon {"a":["apt","prompt","capable","qualified"]}
readingbook {"n":["lesson book","lectionary"]}
reardbearer {"n":["person"]}
rearmouse {"n":["bat"]}
reasow {"v":["suspect","suppose"]}
reasower {"n":["counsellor","chief"]}
reaver {"n":["robber","raider","bandit","plunderer","marauder"]}
reckful {"a":["attentive"]}
recking {"n":["concern","caution"]}
reckness {"n":["narration","history","report"]}
red fingerapple {"n":["jujube","the fruit of this plant"]}
red maithe {"n":["plant"]}
redeful {"a":["wise","prudent"]}
redegift {"n":["gift"]}
redely {"r":["promptly","surely","certainly","explicitly"]}
redesman {"n":["counsellor"]}
reekle {"n":["incense"],"v":["incense"]}
reeklevat {"n":["censer"]}
reet {"v":["cheer","gladden","comfort"]}
reeth {"a":["fierce","wild"],"n":["triumph"]}
reethness {"a":["ruthlessness","mercilessness","cruelness"]}
remming {"n":["hindrance","obstacle"]}
Restday {"n":["day of rest"]}
resthome {"n":["old people's home","old folk's home"]}
resthouse {"n":["hotel","hostel"]}
retcher {"n":["explainer","expounder"]}
ridgebone {"n":["backbone","spine","vertebra"]}
RIF {"x":["RIP","rest in peace"]}
rightframed {"a":["orthodox"]}
rightminded {"a":["sane","decent","upright"]}
rimer {"n":["counter"]}
rimth {"n":["extent","space"]}
rinenly {"a":["physical"]}
ringnet {"n":["mail","chainmail","hauberk"]}
rinnel {"n":["runner"]}
rissle {"n":["soft fat","suet"]}
rodder {"n":["firmament","aether"],"x":["astro-","cosmo-"]}
roddercraft {"n":["spaceship"]}
rodderfarer {"n":["astronaut"]}
rodderlore {"n":["astronomy"]}
roke {"n":["spittle","matter brought up when clearing the throat"]}
Rone {"n":["Rouen","city"]}
roodhang {"n":["crucifix"]}
roodsithe {"n":["crusade"]}
Roomer {"n":["one who lives in the city of Rome"]}
roomet {"n":["space","clearance"]}
roomhearted {"a":["generous"]}
roor {"a":["potent","vigorous"]}
rop {"n":["intestine","entrails","guts","bowels"]}
Rothem {"n":["city"],"p":["city"],"i":["city"]}
rothern {"a":["of oxen","of cattle"]}
rothhound {"n":["mastiff","large dog"]}
rownshat {"n":["cryptocurrency"]}
rownstaff {"n":["rune"]}
rowny {"a":["mystical","mysterious"]}
rud {"n":["blush","marigold","redden"],"v":["blush","redden"]}
ruechary {"a":["troubled","anxious","sorrowful"]}
run in {"n":["conflict"]}
runningfowl {"n":["courser"]}
runthrough {"n":["rehearsal","summary"]}
rus {"n":["ground"]}
rushleek {"n":["chives"]}
sackless {"a":["innocent","blameless","guiltless"]}
saddletree {"n":["saddletree"]}
sade {"v":["satisfy"]}
safin {"n":["savin"]}
sailorly {"a":["nautical"]}
sain {"n":["sign","banner","standard"],"v":["sign"]}
salework {"n":["goods"]}
saltstone {"n":["halite","rock salt"]}
salvy {"n":["sage","plant"]}
samblind {"a":["half-blind","dim-sighted"]}
samborn {"a":["half-born","aborted"]}
samed {"r":["together"],"p":["together"],"i":["together"]}
samey {"a":["generic","monotonous"],"r":["generic","monotonous"]}
sameyness {"n":["monotony"]}
sammening {"n":["convention","congregation"]}
sammer {"n":["gatherer"]}
samwhole {"a":["not whole"]}
samwise {"a":["foolish","simple"]}
sarecrafty {"a":["wily","cunning"]}
sarely {"a":["artful","mechanical"]}
sareman {"n":["engineer"]}
sarenet {"n":["snare"]}
sarethankle {"a":["cunning","shrewd"]}
Sarmondish {"n":["Sarmatian"],"p":["Sarmatian"],"i":["Sarmatian"],"a":["Sarmatian"]}
satch {"n":["strife","conflict"]}
saught {"n":["reconciliation","peace"],"v":["reconcile","peace"]}
saughten {"v":["make peace","reconcile"]}
scathefulness {"n":["injuriousness","destructiveness"]}
scathel {"n":["injury"],"a":["harmful","noxious","injurious"]}
sclair {"n":["veil","headgear"]}
seabladder {"n":["Physalia physalis animal","Portuguese man-of-war"]}
seaduck {"n":["bird","eider","scoter"]}
seaear {"n":["Haliotis mollusc","abalone","ormer"]}
seafarth {"n":["the sea shore"]}
seafennel {"n":["samphire"]}
seaganger {"n":["mariner"]}
seahaven {"n":["seaport"]}
seahawk {"n":["skua","jaeger"]}
seahen {"n":["guillemot","murre"]}
seahound {"n":["dogfish","shark"]}
sealine {"n":["horizon"]}
sealsmolt {"n":["seal oil"]}
sealy {"a":["marine","oceanic"]}
seamere {"n":["lagoon"]}
seaminnow {"n":["anchovy"]}
searaven {"n":["cormorant"]}
seaswallow {"n":["tern"]}
seater {"n":["ambusher"]}
seath {"n":["pit","hole"]}
seathrowend {"n":["Eurypterida","eurypterid"]}
seethrough {"a":["transparent","translucent"]}
