WORD,ANG. SPEL.,MEANING,KIND,FOREBEAR,FROM,NOTES,TAGS
eyeblink,egeblink,᛫ an instant ᛫ a moment ᛫,N,~,NE,[MW],
eyedoor,egedoor,᛫ a window ᛫,N,ēagdūru,OE,"""window"" is Norse",
eyeglass,egeglass,᛫ a monocle ᛫,N,~,NE,,
eyeleech,egeleec,᛫ an ophthalmologist ᛫,N,eye+leech,NE×2,,
eyely,egelig,᛫ visible ᛫ ocular ᛭ visibly ᛫,AJ᛭AV,~,NE,,
eyering,egering,᛫ an orbit ( an eye socket ) ᛫,N,eiring,ME,,
eyesome,egesum,᛫ attractive ᛫ pleasing to the eye ᛫,AJ,~,NE,,
eyethril,egeþril,᛫ a window ᛫ an eye-hole ᛫,N,ēagþyrl,OE,,
eyetooth,egetooð,᛫ a canine tooth ᛫,N,~,NE,,
eyewater,egeƿater,᛫ vitreous humour ᛫ aqueous humour ᛫,N,~,NE,,
eylime,eglime,᛫ egg white ᛫,N,æglīm,OE,,
eyse,egs,᛫ to terrorize ᛫,V,egesian,OE,,
eywhite,eghƿite,᛫ a protein ᛫,N,ey+white,NE×2,calque: eiwit,
eywort,egƿurt,᛫ a dandelion ᛫,N,ægwyrt,OE,,
fack,,᛫ an interval ᛫ a portion of time ᛫,N,fece/fæce&fæc,ME&OE,,
fade,,᛫ to direct ᛫ to arrange ᛫ to order ᛫ to dictate ᛫,V,fade&fadian,ME&OE,,
fain,fagn,᛫ joyful ᛫ pleased ᛫ gladly willing ᛭ joyfully ᛫ gladly willingly ᛫,AJ᛭AV᛭I,fain&fain[fægen],NE&ME,,
fair,fager,᛫ just ᛫ equitable ᛫ reasonable ᛫ of decent value ᛫,AJ,~,NE,,
fairheered,fagerheered,᛫ blond / blonde ᛫,AJ,fairhaired,NE,,
fairminded,fagerminded,᛫ unbiased and impartial ᛫,AJ,~,NE,,
fairness,fagerness,᛫ impartiality ᛫ beauty ᛫,N,~,NE,,
fale,,᛫ a companion ᛫ one who is faithful to another ᛫,N,fāle,ME,kin fēle/fǣle,
falkon,,᛫ a falcon ᛫,N,fealcen,OE,,
fall,,᛫ autumn ᛫,N,~[feallan],NE,,
fall,,᛫ a descent ᛫ a case ( grammatical term ) ᛫ a case [ᚹ] ᛫ an instance [ᚹ] ᛫,N,feall/fyll/fiell,OE,,
fall back,,᛫ to retreat ᛫,V,~,NE,PST: fellback ᛫ PTCP: fallenback,
fall through,fall þruge,᛫ to fail as a plan ᛫,V,~,NE,"PST: fell through {fell þruge} ᛫ ""I wanted to visit but the plan fell through.""",
fallaxe,fallax,᛫ a guillotine ᛫,N,fall+axe,NE+NE,"calque: valbijl, Fallbeil",
fallgate,,᛫ a portcullis ᛫,N,fall+gate,NE+NE,calque: HG Fallgatter,
fallish,fallisc,᛫ autumnal ᛫,AJ,~,NE,,
fallow,falloƿ,᛫ pale brown ᛫ tan brown ᛫ tawny ᛫ khaki ᛫ beige ᛭ of pale brown hue ᛫ of tan brown hue ᛫ of tawny hue ᛫ of khaki hue ᛫ of beige hue ᛫,N᛭AJ,~[fealu],NE,,[colour]
fallow,falloƿ,᛫ uncultivated land ᛫,N,~[fealh],NE,,
fallshield,fallscield,᛫ a parachute ᛫,N,fall+shield,NE+NE,calque: valscherm; Fallschirm,
fallsick,,᛫ epileptic ᛫,AJ,fyllesēoc,OE,,
fallsickness,,᛫ epilepsy ᛫,N,fyllesēocnys,OE,,
fallsome,fallsum,᛫ deciduous ( botany ) ᛫,AJ,fall+some,NE×2,invented by William Barnes,
fallwind,fallƿind,᛫ a katabatic wind ᛫,N,fall wind,NE,[MW],
fand,,᛫ a trial ᛫ an attempt ᛭ to try ( in a trial ) ᛫ to try ( to attempt ) ᛫ to endeavour ᛫ to put to a test ᛫ to experiment ᛫,N᛭V,fond/fand&fonden/fanden,ME,or: fond,
fane,,᛫ a banner ᛫ a flag ᛫ a vane ᛫,N,~,NE,,
fang,,"᛫ to take [ᛏ] ᛫ to capture [ᛏ] ᛫ to catch [ᛏ] ᛫ to seize [ᛏ] ᛫ to receive ( a blow , an honor , etc ) [ᛏ] ᛫ to obtain [ᛏ] ᛫",V,afọ̄n{fang},ME,"PST&PTCP: fanged ᛫ ""fō̆ngen, fē̆ngen are analog. creations, replacing older fọ̄n"" - MEC",
fangle,fangel,᛫ to invent ᛫ to fashion ᛫,V,~,ANE,[CED],
fangtooth,fangtooð,᛫ a canine tooth ᛫,N,fængtōþ,OE,,
far,,᛫ distant ᛫,AJ,~,NE,,
far,,᛫ a bull ᛫,N,fearr/fear,OE,,
Far,,᛫ Taurus ᛫,N(P),Fearr,OE,,
far shout from,scute,᛫ far cry from ᛫,PHRASE,~,NE,attested in New York Times and The Guardian,
farandman,,᛫ a wayfarer ( esp a pedlar or a merchant who travels ) ᛫,N,~,NE,,
fare,,᛫ a journey ᛫ a voyage ᛫ an expeditiona ᛫ transportation fee ᛭ to journey ᛫ to voyage ᛫ to travel ᛫,N᛭V,~,NE,,
fareld,,᛫ a course ᛫ a passage ᛫ a going ᛫ an expedition ᛫,N,færeld,OE,,
farfetched,farfecced,᛫ fanciful ᛫ improbable ᛫ implausible ᛫ unlikely ᛫,AJ,~,NE,[OED],
farflung,,᛫ remote ᛫ widely spread ᛫,AJ,~,NE,,
farl,,᛫ a cake of a certain type ᛫ a biscuit of a certain type ᛫,N,~,NE,[MW],
farm,,᛫ food ᛫ sustenance ᛫ entertainment ᛭ to feed ᛫ to sustain ᛫ to entertain ᛫,N᛭V,feorm&feormian,OE,,
farmth,farmð,᛫ a harbouring ᛫ an entertaining ᛫ a cleansing ᛫,N,feormþ,OE,,
farness,,᛫ distance ᛫,N,~,NE,,
Faroish,Faroisc,᛫ the Faroese language ᛭ Faroese ᛫,N᛭AJ,~,NE,,
farrand,,᛫ having a specified form or disposition ᛫ fashioned ᛫,AJ,~,NE,,
farrow,farroƿ,᛫ a piglet ᛫ a litter of piglets ᛫,N,farrow&fearh,NE&OE,,
farsighted,farsigted,᛫ hypermetropic ᛫ hyperopic ᛫,AJ,far-sighted,NE,[OED],
farsightedness,farsigtedness,᛫ hypermetropia ᛫ hyperopia ᛫,N,far-sightedness,NE,[OED],
farth,farð,᛫ a tide ᛫ a current ᛫ a shore ᛫,N,faroþ,OE,,
farthing,farðing,᛫ a quarter ( of something ) ᛫ one-quarter of an old penny ᛫,N,~,NE,equivalent to forth-ing,
fasel,,᛫ progeny ? ᛫,N,fæsl,OE,poorly attested,
fass,,᛫ rootlets ᛫,N,fā̆s[fæs],ME,,
fast,,᛫ firm ᛫ solid ᛫ stable ᛫,AJ,~,NE,,
fast,,"᛫ ( denotes stability , firmness , solidity , reliability , adherence to ) ᛫",SUFFIX,~,NE,,
fasten,,᛫ to secure ᛫,V,~,NE,,
fasten,,᛫ a fortress ᛫ a stronghold ᛫ a castle ᛫,N,fæsten,OE,,
fasthavel,fasthafel,᛫ stingy ᛫ miserly ᛫,AJ,fæsthafol,OE,fast-havel,
fastness,,᛫ a secure place ᛫ stability ᛫ immobility ᛫ firmness ᛫ solidity ᛫ obduracy ᛫ obstinacy ᛫,N,fastness&fastnes,NE&ME,,
fastshaft,fastscaft,᛫ solid matter ᛫,N,fast+shaft,NE+ME,,
fatgoose,,᛫ a penguin ᛫,N,fat+goose,NE×2,calque: vetgans,
fatherland,faðerland,᛫ the land of one's ancestors or birth ᛫,N,~,NE,,
fatherly,faðerlig,᛫ paternal ᛫,AJ,~,NE,,
fathermurther,faðermurþer,᛫ patricide ᛫,N,father+murther,NE+ME,calque: Vatermord,
fathern,faðern,᛫ paternal ᛫,AJ,fæderen,OE,,
fathernbrother,faðernbroðer,᛫ paternal brother ( a brother one shares a father with ) ᛫,N,fæderenbrōþor,OE,,
fatherslayer,faðerslager,᛫ a patricide ᛫,N,fatherslayer,NE,,
fathom,faðom,᛫ a unit of length equal to six feet ( 1.8 metres ) ᛭ to grasp ᛫ to imagine [ᚹ] ᛫,N᛭V,~,NE,,
fathomless,faðomless,᛫ immeasurable ᛫ incomprehensible ᛫,AJ,~,NE,,
fathomlessness,faðomlessness,᛫ unimaginability ᛫,N,~,NE,,
faw,faƿ,᛫ particolored ᛫ variegated ᛫ spotted ᛫ streaked ᛫,AJ,fawe[fāh],ME,,
fawn,faƿn,᛫ to show affection ᛫ to court favour through flattering ᛫,V,~,NE,"often found in the term ""fawning over""",
fawning,faƿning,᛫ a rejoicing ᛫ an exultation ᛫ a celebration ᛭ obsequious ᛫,N᛭AJ,fawning&fægnung,NE&OE,,
fawworm,faƿƿurm,᛫ a basilisk ᛫,N,fāgwyrm,OE,,
fax,,᛫ head hair ᛫,N,~,NE,,
faxcloth,faxcloð,᛫ a headband ᛫ a hairband ᛫,N,feaxclāþ,OE,,
faxed,,᛫ maned ᛫,AJ,~,NE,,
faxedstar,,᛫ a comet ᛫,N,fax+ed+star,NE×3,calque: maned star,
faxfalling,,᛫ loss of hair ᛫ alopecia ᛫,N,feaxfeallung,OE,,
faxneedle,faxneedel,᛫ a hair needle ᛫,N,feaxnǣdel,OE,,
faxread,,᛫ to dress or trim hair ᛫,V,feaxgerǣdian,OE,,
fay,fag,᛫ a joining ᛫ a combo ᛫ a combination ᛫ a juncture ᛭ to join together ᛫ to attach ᛫ to combine ᛫,N᛭V,gefēg&feien,OE&ME,,
faying,faging,᛫ a conjunction ( grammatical term ) ᛫,N,fēging,OE,or: linkword (coined by William Barnes),
faze,fase,᛫ to daunt ᛫ to put off ᛫ to disturb ᛫ to perturb ᛫,V,~[fēsen],NE,,
fea,,᛫ joy ᛭ to rejoice ᛫ to exult ᛫ to celebrate ᛫,N᛭V,gefēa&gefēon,OE&OE,,
feamen,,᛫ a damsel ᛫,N,fǣmne,OE,,
fearsome,fearsum,᛫ scary ᛫,AJ,~,NE,,
feather,feaðer,᛫ a pen ᛫ a stylus ᛫,N,fether&feþer,ME&OE,,
feather star,feaðer,᛫ a non-stalked crinoid ᛫,N,~,NE,poorly attested,
featherbed,feaðerbed,᛫ a feather mattress ᛭ to require a business to hire more employees than needed ᛫,N᛭V,~,NE,,
featherhame,feaðerhame,᛫ plumage ᛫,N,fetherhāme,ME,,
featherheaded,feaðerheaded,᛫ disorganized and foolish ᛫,AJ,feather-headed,NE,,
fee,,᛫ livestock ᛫ cattle ᛫ capital ᛫ money ᛫ wealth ᛫ moveable property ᛫,N,fee&fē,NE&ME,"""fee"" as in ""fine"" is French",
feeboot,,᛫ monetary compensation ᛫,N,feohbōt,OE,,
feeder,,᛫ a tributary ᛫ an affluent ᛫ a branch road or railway line ᛫,N,~,NE,[OED],
feedingroom,,᛫ a cafeteria ᛫ a canteen ᛫ a refectory ᛫,N,feeding-room,NE,[OED],
feedom,,᛫ capitalism ᛫,N,fē+dom,ME+NE,,
feel,,᛫ many ᛭ many ᛫ much ᛭ very ᛫ quite ᛫ much ᛫ greatly ᛫ frequently ᛫,N᛭AJ᛭AV,fēle[fela],ME,,
feel,,᛫ excellent ᛫ faithful ᛫,AJ,fēle&fǣle,ME&OE,,
feeland,,᛫ a pasture ᛫ pasture land ᛫,N,feohland,OE,,
feeler,,᛫ an antenna ( insect ) ᛫ a tentacle ( mollusc ) ᛫,N,~,NE,[CED][MW],
feelfold,,᛫ to increase in number ᛫ to multiply ᛭ manifold ᛫ multiple ᛫ varied ᛫ diverse ᛫,V᛭AJ,fēlefōlden&fēlefōlden,ME,,
feeling,,᛫ a sensation ᛫ a sense ᛫ an impression ᛫ an emotion ᛫ a sentiment ᛫,N,~,NE,[OED],
feening,,᛫ a craving for more narcotics ᛫,N,~,NE,,
Feenish,Feenisc,᛫ Phoenician language ᛭ Phoenician ᛫,N(P)᛭AJ(P),Syrofēnisc{φοῖνιξ},OE,,
Feenishman,Feeniscman,᛫ a Phoenician ᛫,N(P),Syrofēnisc+man,OE+NE,,
feenix,,᛫ a phoenix ᛫,N,fēnix,ME‹O,,
feered,,᛫ a company of people ᛫ a band ᛫ a host ᛫ a troop ᛫ companionship ᛫ comradeship ᛫,N,ferrēde{fēre},ME,,
feeth,feeð,᛫ walking on foot ᛫ the ability to talk on foot ᛫,N,fēþe,OE,,
feeth,feeð,᛫ infantry ᛫ a host ᛫ a troop ᛫ tribe ᛫ company ᛫,N,fēþa,OE,,
feethe,feeðe,᛫ to travel on foot ᛫,V,fēþan,OE,,
feethgang,feeðgang,᛫ a journey on foot ᛫,N,fēþegang,OE,,
feethheer,feeðheer,᛫ a foot army ᛫ a troop of infantry ᛫,N,fēþehere,OE,,
feeze,feese,᛫ to drive off ᛫ to disconcert ᛫,V,~,NE,kin: faze,[CED]
feigh,feig,᛫ to make beautiful ᛫ to adorn ᛫,V,feahen[fǣgan],ME,,
feighth,feigð,᛫ a feud ᛫,N,fǣhþ{feithhēd}{feied},OE,equal to: foe+th,
feist,fiste,᛫ a fart ᛫ a small dog ( esp a feisty one ) ᛭ to fart ᛫,N᛭V,feist&fīst&fīsten,NE&ME&ME,,
feisty,fistig,᛫ like a small energetic dog ᛫ spunky ᛫,AJ,~,NE,,
fell,,᛫ a pelt ᛫ hide ᛫ skin ᛫,N,~[fel/fell],NE,[MW],
fell,,᛫ to destroy ᛫ to kill ᛫ to fell a tree ᛫ to make something fall ᛫ to strike down ᛫ to defeat ᛫,V,~[fellan]{afellen},NE,,
fellen,,᛫ made of fell ᛫ made of skin ᛫,AJ,fellen,OE,,
felling,,᛫ a clearing ᛫ an open space in a forest ᛫,N,~,ME,,
fellow,felloƿ,᛫ a companion ᛫ a comrade ᛫,N,~,NE‹N,,
fellowless,felloƿless,᛫ peerless ᛫,AJ,~,NE‹(N+E),,
fellowred,felloƿred,᛫ an association ᛫ companionship ᛫ sexual intercourse ᛫ a company of people ᛫ a community ᛫,N,fē̆laurē̆de,ME‹(N+E),,
fellowship,felloƿscip,᛫ a community ᛫ community ᛫,N,~,NE‹(N+E),,
fellred,,᛫ purple ᛭ of purple hue ᛫,N᛭AJ,fellerēad,OE,apparently a common mistaken form of pæll-rēad,[colour]
felly,fellig,᛫ the exterior rim supported by spokes ᛫ a circumference ᛫,N,~,NE,[MW],
felton,,᛫ a toilet ᛫ a privy ᛫,N,feltūn,OE,,
feltwort,feltƿurt,᛫ a Verbascum plant ᛫ a mullein ᛫,N,~,NE,[OED],
felwort,felƿurt,᛫ a Gentiana plant ( a gentian ) ᛫,N,~,NE,reduction of 'fieldwort',
fen,,᛫ low-lying flat land that is marshy ᛫ low land that is covered wholly or partly with water unless artificially drained ᛫,N,~,NE,[CED][MW],
fenberry,fenberrig,᛫ a Vaccinium oxycoccos plant ( a cranberry ) ᛫,N,fen-berry,NE,,
fennel,,᛫ a Foeniculum vulgare plant ᛫,N,~,NE,,
fenny,fennig,᛫ boggy ᛫,AJ,~,NE,,
fenow,fenoƿ,᛫ mold ᛫,N,fenowed&fyne,NE&OE,,
fenowed,fenoƿed,᛫ moldy ᛫ decayed ᛫ corrupted ᛫,AJ,~,NE,,
fer,,᛫ ( denotes a negative suddenness and unexpectedness ) ᛫,PREFIX,fǣr{fērlī}{ferly},OE,kin: fear,
ferd,,᛫ a military ᛭ to ready a military for war ᛫ to do military things ᛫,N᛭V,fẹ̄̆rd&fẹ̄̆rden,ME&ME,,
ferdfare,,᛫ military service ᛫ the obligation of military service ᛫ a fee to forgo military service ᛫,N,fẹ̄̆rdfāre,ME,,
ferdly,ferdlig,᛫ military ᛫ martial ᛫,AJ,fyrdlīc,OE,,
ferdman,,᛫ a soldier ᛫ a militiaman ᛫,N,fyrdmann,OE,,
ferdwite,ferdƿite,᛫ a penalty for evading military service ᛫,N,fyrdwīte,OE,,
fere,,"᛫ a companion ( a comrade , a spouse , a friend , etc ) ᛫",N,~[ifẹ̄re][gefēra],ANE,,
fere,,᛫ life ᛫,N,fēre{feore/feorh},ME,,
feregiver,feregiver,᛫ giver of life ᛫ God ᛫,N,feorhgifa,OE,un-Norse: fereyeaver/feregeefer,
ferk,,᛫ to support ᛫ to bring in support ᛫ to assist ᛫ to drive ᛫ to rush ᛫,V,ferken&fercian,ME&OE,,
ferking,,᛫ provisions ᛫ a sustaining ᛫,N,fercung,OE,,
ferly,ferlig,᛫ an oddity ᛫ an anomaly [ᚹ] ᛫ a surprise [ᚹ] ᛭ strange ᛫ surprising ᛫ unexpected ᛫ anomalous ᛭ strangely ᛫ surprisingly ᛫ unexpectedly ᛫,N᛭AJ᛭AV,ferly&fērlī,NE&ME,equal to: fear+ly,
fern,,᛫ ancient ᛫ old ᛫ previous ᛫ past ᛫,AJ,fern/furn,ME,,
fern,,᛫ ancient- ᛫ old- ᛫,PREFIX,fern[fyrn],ME,,
fern,,᛫ a Filicophyta plant ᛫ a Filicopsida plant ᛫,N,~,NE,[MW],
ferndays,ferndags,᛫ days of old ᛫,N,fyrndagas,OE,,
fernlore,,᛫ archaeology ᛫,N,fern+lore,ME+NE,calque: archaeology,
fernman,,"᛫ an ancient ( as in ""the ancients"" ) ᛫",N,fyrnman,OE,,
fernseed,,᛫ one of the asexual dustlike spores of a fern which resemble seeds ᛫,N,fern seed,NE,,
fernsitter,,᛫ a rabbit ( poetic ) ᛫,N,fernsitter,ME,poorly attested,
ferry,ferrig,᛫ a ship used to transport passengers and goods ᛭ to transport ᛫ to convey ᛫,V,~,NE,or: fere (from ME alternative),
ferse,,᛫ a verse ᛫,N,fers,OE‹I,,
fersh,fersc,᛫ fresh ᛫,AJ,fersh,ME,"most etymologies say ""fresh"" is from French ""fresche""",
fet,,᛫ to go on a quest for something ᛫ to go and get a desired thing ᛫,V,gefetian,OE,,
fetch,fec,᛫ to go after and bring back ᛫,V,~,NE,,
fetch,fec,᛫ to go on a quest for something ᛫ to go and get a desired thing ᛫,V,gefeccan,OE,,
fether,feðer,᛫ to burden ᛫ to put a load upon ᛫,V,fetheren,ME,,
fetter,,᛫ a limit ᛫ a regulation ᛫ a restricter ᛫ a restriction ᛫ a restrainer ᛭ to restrict ᛫ to restrain ᛫ to impede ᛫ to slow down ᛫ to limit ᛫,N᛭V,~,NE,,
fettered,,᛫ restrained ᛫ restricted ᛫ limited ᛫ regulated ᛫,AJ,~,NE,,
fettle,fettel,᛫ a vessel ᛫ a receptacle ᛫ a cask ᛫ a bag ᛫ a sack ᛫,N,fētil[fǣtels],ME,,
fettle,fettel,᛫ condition ᛭ to repair ᛫ to mend ᛫ to fix ᛫ to put in order ᛫,N᛭V,~[fetel],NE,[MW],
fettler,fetteller,᛫ a repairer ᛫ a repairman ᛫ a railway maintenance man ᛫,N,~,NE,,
fewshaft,feƿscaft,᛫ destitute ᛫ miserable ᛫ squalid ᛫,AJ,feasceaft,OE,,
fey,feg,᛫ doomed ᛫ dying ᛫ fraught with fatal consequences ᛫,AJ,~[fei][fǣge],NE,,
fick,,᛫ deceit ᛫ fraud ᛫,N,fic&gefic,OE&OE,,
fickle,fickel,᛫ unreliable ᛫ disloyal ᛫ treacherous ᛫ deceptive ᛫ deceitful ᛫,N,fickle&fikel[ficol],NE&ME,,
fiddle,fiddel,᛫ a violin ᛫,N,~[fiþele],NE,,
fiddle with,fiddel ƿið,᛫ to manipulate ᛫ to tinker ᛫,AJ,~,NE,,
fiddlestick,fiddelstick,᛫ a violin bow ᛫,N,~,NE,[MW],
fie,,᛫ to despise ᛫ to abhor ᛫ to detest ᛫ to disdain ᛫ to abominate ᛫,V,fēogan,OE,analogy: lēogan to lie ᛫ kin: fiend,
fieldelf,fieldelf,᛫ a field elf ᛫ a field fairy ᛫ a field nymph ᛫,N,feldælf,OE,,
fieldhen,fieldhen,᛫ a Perdix bird ( a partridge ) ᛫,N,field+hen,NE×2,calque: NL veldhoen,
fieldhouse,fieldhuse,᛫ a tent ᛫ a building used for sports ᛫,N,~[feldhūs],NE,,
fieldswamb,fieldsƿamb,᛫ fungus ᛫,N,feldswamm,OE,,
fiend,feend,᛫ an evil person ᛫ a lowlife ᛫ a drug addict ᛫ an enemy ᛫ a devil ᛫ the Devil ᛫ a demon ᛫,N,~,NE,,
fiendish,feendisc,"᛫ diabolical ᛫ demonic ᛫ extremely cruel ᛫ extremely wicked ᛫ excessively bad , unpleasant , or difficult ᛫",AJ,~,NE,[MW],
fiendred,feendred,᛫ enmity ᛫,N,fēondrǣden,OE,,
fiendship,feendscip,᛫ enmity ᛫ foeship ᛫,N,fēondscip,OE,,
fifth,fifð,᛫ a quint ᛫ a pentachord ᛫,N,~,NE,[OED],
fifthbeing,fifðbeing,᛫ a quintessence ᛫,N,fifte beinge,ME,,
fight,figt,᛫ to moisten ᛫,V,fȳhtan,OE,,
fightlock,figtlock,᛫ combat ᛫,N,feohtlāc,OE,,
fike,,᛫ to feign ᛫ to dissemble ᛫ to flatter ᛫ to wheedle ᛫,V,fiken[fician],ME,,
fike,,᛫ a fig ᛫,N,fīke,ME‹I?,,
filch,filc,᛫ some stolen thing or things ᛭ to steal ᛫,N᛭V,~,NE,,
file,,᛫ to defile ᛫ to corrupt ᛫,V,fīlen[fȳlan],ME,,
fill,,᛫ chervil ? ᛫ the Thymus serpyllum plant ( breckland thyme ) ? ᛫,N,fille,OE,,
film,,᛫ a movie ᛫ a membrane ᛫ skin ᛫,N,film&filmen,NE&OE,,
filmcraft,,᛫ the art or craft of making movies ᛫ cinematography ᛫,N,filmcraft,NE,,
filmdom,,᛫ the movie industry ᛫,N,~,NE,[OED],
filmgoer,,᛫ a moviegoer ᛫ a cinemagoer ᛫,N,~,NE,,
filmhouse,filmhuse,᛫ a cinema ᛫,N,film+house,NE×2,,
filmish,filmisc,᛫ filmic ᛫ cinematic ᛫,AJ,~,NE,,
filmling,,᛫ a short film ᛫,N,film+ling,NE×2,,
filmmaker,,᛫ a cinematographer ᛫ a filmographer ᛫,N,~,NE,,
filmplay,filmplag,᛫ a motion picture ᛫,N,film play,NE,[MW],
filmstar,,᛫ a movie star ᛫,N,film star,NE,,
filmwright,filmƿrigt,᛫ a scriptwriter ᛫,N,~,NE,[MW],
filst,,᛫ aid ᛫ assistance ᛫ support ᛫ furtherance ᛫ abetment ᛭ to aid ᛫ to assist ᛫ to support ᛫ to abet ᛫,N᛭V,filst&filsten,ME&ME,,
filthfear,filðfear,᛫ mysophobia ᛫,N,dirt+fear,NE×2,,
find,,᛫ to locate ᛫,V,~,NE,,
finding,,᛫ discovery ᛫ a discovery ᛫,N,~,NE,,
findle,findel,᛫ something found ᛫ a discovery ᛫ an invention ᛫,N,findles,ME,,
findy,findig,᛫ capable ᛫ able ᛫ suitable ᛫ proper ᛫ apt or effective language ᛫,AJ,fīndī&gefyndig,ME&OE,[OED] ᛫ rhyme: windy,
finger,,᛫ to identify ᛫ to point out ᛫,V,~,NE,,
fingerapple,fingerappel,᛫ a date ᛫,N,fingeræppel,OE,,
fingerbone,,᛫ a phalanx of a finger ( anatomy ) ᛫,N,~,NE,,
fingle,fingel,᛫ a prince ᛫ a princeps ᛫,N,fengel,OE,,
fingry,fingerig,᛫ digital ᛫,AJ,finger+y,NE×2,,
Finn,,᛫ a Finn ᛫,N(P),Finn,OE,,
fint,,᛫ a tail ᛫ sequel ᛫ consequence ᛫,N,finta,OE,,
firebarrow,firebarroƿ,᛫ a volcano ᛫,N,fire+barrow,NE×2,,
firebouk,firebook,᛫ a Molotov cocktail ᛫,N,fire+bouk,NE+ME,,
firebrand,,᛫ a torch with a flame ᛫ an argumentative troublemaker or revolutionary ᛫,N,~,NE,,
firedog,firedogg,᛫ an andiron ᛫ a landiron ᛫,N,~,NE,calque: chenet?,
fireflood,,᛫ a lava flow ᛫,N,~,NE,,
firefree,,᛫ fireproof ᛫ free from fire ᛫,AJ,fire-free,NE&ANE,[OED],
firehouse,firehuse,᛫ a fire station ᛫,N,~,NE,[OED],
firen,,᛫ to sin ᛫,V,firenian,OE,,
firenful,,᛫ sinful ᛫ wicked ᛫,AJ,firenfull,OE,,
firenlust,,᛫ sinful lust ᛫ wantonness ᛫,N,firenlust,OE,,
firepan,,᛫ a brazier ᛫,N,~,NE,,
fires,,᛫ living beings ᛫ humanity ᛫ humans ᛫,N,fīras,OE,kin: feorm/farm; firihōs (Old Saxon); fīrar (Icelandic),
fireward,fireƿard,᛫ a fire chief ᛫ a fire warden ᛫ a fire marshal ᛫,N,~,NE,[OED],
firewater,fireƿater,᛫ liquor ᛫ strong alcoholic drink ᛫,N,~,NE,possibly a calque from an American Indian language,
fireweapon,fireƿeapon,᛫ a firearm ᛫,N,~,NE,"""earliest use found in Humphrey Barwick (d. 1598)"" ᛫ see OXF",
firk,,᛫ to move quickly ᛫ hasten ᛫ to be lively ᛫ to jerk ᛫ to switch ᛫ to fidget ᛫ to fuss ᛫,V,~,NE,[MW],
firl,,᛫ distance ᛫,N,firl,OE,,
firlen,,᛫ distant ᛫ remote ᛫,AJ,fyrlen,OE,,
firnut,,᛫ a fircone ᛫,N,fir+nut,NE×2,note: pīnhnutu,
firrow,firroƿ,᛫ a mountain ᛫,N,firgen/fyrgen{firegāt},OE,kin: 𐍆𐌰𐌹𐍂𐌲𐌿𐌽𐌹; पर्वत ᛫ evidence from ME shows loss of /n/,
firrowbuck,firroƿbuck,᛫ an ibex ? ᛫,N,firgenbucca,OE,,
firse,,᛫ to keep away ᛫ to take away ᛫,V,firsen/fursen[feorsian],ME,"""firse him from me"" ᛫ kin: far",
firsen,,᛫ the heel ᛫,N,fiersn/fyrsn,OE,,
first,,᛫ a ceiling ᛫ a roof ᛫,N,first[first],ME,,
first hoad,,᛫ first person ᛫,N,fyrest hād,OE,from Ælfric's Grammar,
firstbirth,firstbirð,᛫ primogeniture ᛫,N,first-birthe,ME,,
firsthand,firsthand,᛫ direct ( without intermediate stages ) ᛫,AJ,~,NE,,
firth,firð,᛫ an estuary ᛫ an inlet ᛫ a fjord ᛫,N,~,NE‹N,,
firwit,firƿit,᛫ curiosity ᛫,N,firwit/firwet,OE,,
fise,,᛫ to launch ᛫ to send quickly ᛫ to bring quickly ᛫,V,fūsen[fȳsan],ME,,
fishhawk,fischaƿk,᛫ a Pandion haliaetus bird ( an osprey ) ᛫,N,~,NE,,
fishhouse,fischuse,᛫ a fish tank ᛫ an aquarium ᛫ a place where fish is sold ᛫ a small shack used for ice fishing ᛫,N,ffysche howse,ME&NE,[OED],
fishlore,fisclore,᛫ ichthyology ᛫,N,~,NE,,
fishly,fisclig,᛫ piscine ᛫ ichthyic ᛫,AJ,~,NE,,
fishwife,fiscƿife,᛫ a coarse-mannered woman who is prone to shouting ᛫ a female fishmonger ᛫,N,~,NE,,
fishy,fiscig,᛫ suspicious ᛫ dubious ᛫ questionable ᛫,AJ,~,NE,,
fistfighter,fistfigter,᛫ a pugilist ᛫,N,fist-fighter,NE,[OED],
fistfighting,fistfigting,᛫ pugilism ᛫ pugilistics ᛭ pugilistic ᛫,N᛭AJ,fist-fighting,NE,[OED],
fit,,᛫ a section of a narrative ( esp a poem or song ) ᛫ a canto ᛫ a chapter ᛫,N,fit&fit/fitt[fitte],NE&ME,"""chapter"" usage found in ""the Hunting of the Snark""",
fit,,᛫ a sudden and transitory state of activity or feeling ᛫ a paroxysm ᛫ a seizure ᛫ a convulsion ᛫ a tantrum ᛫,N,~,NE,[OED],
fitful,,᛫ intermittent ᛫ capricious ᛫ spasmodic ᛫ sporadic ᛫ paroxysmal ᛫,AJ,~,NE,,
Fitherrich,Fiðerric,᛫ a tetrarch ᛫,N,fyðerríca,OE,,
fitting,,᛫ appropriate ᛫ proper ᛫ suitable ᛫ apt ᛫,AJ,~,NE,[OED],
fivald,fifald,᛫ a butterfly ᛫ a Lepidopteran insect [ᚹ] ᛫,N,fifalde,OE,,
fivefold,fifefold,᛫ quintuple ᛫,AJ᛭AV,~,NE,[OED],
fivel,fifel,᛫ a monster ᛫ a giant ᛫,N,fifel,OE,,
